Rank,Tier,Pokemon,Legendary,Score,Type1,Type2,Attack_Style,Burst,Safety,Mobility,AoE,Survivability,Item,4x_Weak,Best_Moves
1,S,Kyogre,Yes,396.2,Water,,Special,126.0,100,54,582.4,74.0,Blue Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
2,S,Primal Kyogre,Yes,396.2,Water,,Special,126.0,100,54,582.4,74.0,Blue Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
3,A,Volcanion,Yes,355.9,Fire,Water,Special,91.0,100,56,694.2,10.0,Life Orb,,Eruption(Fire); Origin Pulse(Water); Overheat(Fire); Heat Wave(Fire)
4,A,Groudon,Yes,339.0,Ground,Fire,Physical,140.4,40,54,436.8,34.0,Red Orb,Water,Precipice Blades(Ground); Earthquake(Ground); Flare Blitz(Fire); High Horsepower(Ground)
5,A,Primal Groudon,Yes,339.0,Ground,Fire,Physical,140.4,40,54,436.8,34.0,Red Orb,Water,Precipice Blades(Ground); Earthquake(Ground); Flare Blitz(Fire); High Horsepower(Ground)
6,A,Keldeo,Yes,329.1,Water,Fighting,Special,90.3,100,108,582.4,10.0,Life Orb,,Origin Pulse(Water); Eruption(Fire); Focus Blast(Fighting); Surf(Water)
7,A,Vaporeon,No,322.7,Water,,Special,77.0,100,78,582.4,70.8,Life Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
8,A,Greninja,No,321.7,Water,Dark,Special,72.1,100,146,582.4,10.0,Life Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
9,A,Milotic,No,316.7,Water,,Special,70.0,100,81,582.4,60.9,Life Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
10,A,Blastoise,No,306.4,Water,,Special,59.5,100,78,582.4,45.0,Life Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
11,A,Xerneas,Yes,304.7,Fairy,,Special,91.7,100,79,478.4,83.6,Life Orb,,Eruption(Fire); Dazzling Gleam(Fairy); Blizzard(Ice); Moonblast(Fairy)
12,A,Toxtricity,No,303.8,Electric,Poison,Special,79.8,100,75,543.4,10.0,Life Orb,Ground,Eruption(Fire); Sludge Wave(Poison); Thunder(Electric); Discharge(Electric)
13,A,Heatran,Yes,302.1,Fire,Steel,Special,91.0,100,77,507.0,10.0,Life Orb,Ground,Eruption(Fire); Steel Beam(Steel); Overheat(Fire); Heat Wave(Fire)
14,A,Slowbro,No,301.9,Water,Psychic,Special,70.0,100,30,582.4,10.0,Life Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
15,A,Slowking,No,301.9,Water,Psychic,Special,70.0,100,30,582.4,10.0,Life Orb,,Origin Pulse(Water); Eruption(Fire); Surf(Water); Hydro Pump(Water)
16,A,Armarouge,No,299.4,Fire,Psychic,Special,87.5,100,75,507.0,10.0,Life Orb,,Eruption(Fire); Overheat(Fire); Heat Wave(Fire); Fire Blast(Fire)
17,B,Charizard,No,293.8,Fire,Flying,Special,76.3,100,100,507.0,10.0,Life Orb,Rock,Eruption(Fire); Overheat(Fire); Heat Wave(Fire); Fire Blast(Fire)
18,B,Darkrai,Yes,292.4,Dark,,Special,94.5,100,125,439.4,10.0,Life Orb,,Eruption(Fire); Blizzard(Ice); Dark Pulse(Dark); Focus Blast(Fighting)
19,B,Sylveon,No,290.6,Fairy,,Special,77.0,100,72,478.4,66.6,Life Orb,,Eruption(Fire); Dazzling Gleam(Fairy); Blizzard(Ice); Moonblast(Fairy)
20,B,Clefable,No,280.9,Fairy,,Special,66.5,100,72,478.4,51.4,Life Orb,,Eruption(Fire); Dazzling Gleam(Fairy); Blizzard(Ice); Moonblast(Fairy)
