Pokemon,Dex_Number,Move_Count,All_Moves
Zygarde,718,43,Bite; Body Slam; Breaking Swipe; Brick Break; Bulldoze; Core Enforcer; Crunch; Dig; Draco Meteor; Dragon Breath; Dragon Pulse; Earth Power; Earthquake; Endure; Extreme Speed; Facade; Fissure; Focus Blast; Giga Impact; Glare; Haze; Hyper Beam; Hyper Voice; Iron Head; Land's Wrath; Magnet Bomb; Nihil Light; Outrage; Poison Fang; Protect; Psychic Fangs; Rock Slide; Safeguard; Scale Shot; Scorching Sands; Sludge Wave; Stone Edge; Substitute; Swift; Thousand Arrows; Thousand Waves; Tri Attack; Zen Headbutt
Dondozo,977,51,Aqua Tail; Avalanche; Body Press; Body Slam; Bulldoze; Chilling Water; Crunch; Curse; Dive; Double-Edge; Earthquake; Endure; Facade; Fissure; Flail; Giga Impact; Heavy Slam; Hydro Pump; Hyper Beam; Ice Fang; Iron Tail; Lick; Liquidation; Mud Shot; Muddy Water; Noble Roar; Order Up; Outrage; Protect; Rain Dance; Rest; Rock Slide; Scary Face; Sleep Talk; Soak; Stomping Tantrum; Substitute; Supersonic; Surf; Tackle; Take Down; Tera Blast; Thrash; Tickle; Water Gun; Water Pulse; Waterfall; Wave Crash; Whirlpool; Yawn; Zen Headbutt
Wigglytuff,040,108,Alluring Voice; Amnesia; Baton Pass; Blizzard; Body Press; Body Slam; Brick Break; Calm Mind; Charm; Chilling Water; Confusion; Copycat; Covet; Dark Pulse; Dazzling Gleam; Defense Curl; Dig; Disable; Disarming Voice; Double-Edge; Drain Punch; Draining Kiss; Dream Eater; Echoed Voice; Encore; Endeavor; Endure; Energy Ball; Expanding Force; Facade; Fake Out; Fake Tears; Fire Blast; Fire Punch; Flamethrower; Fling; Focus Blast; Focus Punch; Giga Impact; Grass Knot; Gravity; Gyro Ball; Headbutt; Heal Pulse; Helping Hand; Hyper Beam; Hyper Voice; Ice Beam; Ice Punch; Ice Spinner; Icy Wind; Knock Off; Last Resort; Light Screen; Magical Leaf; Metronome; Mimic; Misty Explosion; Misty Terrain; Moonblast; Nasty Plot; Pain Split; Perish Song; Play Rough; Pound; Present; Protect; Psych Up; Psychic; Psychic Noise; Psyshock; Rain Dance; Reflect; Rest; Rollout; Round; Sandstorm; Self-Destruct; Shadow Ball; Sing; Skill Swap; Sleep Talk; Solar Beam; Spit Up; Stealth Rock; Stockpile; Stored Power; Substitute; Sunny Day; Swallow; Sweet Kiss; Swift; Tackle; Take Down; Taunt; Tera Blast; Thief; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Trailblaze; Tri Attack; Uproar; Water Pulse; Wild Charge; Wish; Zen Headbutt
Melmetal,809,35,Acid Armor; Body Slam; Brick Break; Brutal Swing; Charge Beam; Discharge; Double Iron Bash; Dynamic Punch; Earthquake; Endure; Facade; Flash Cannon; Giga Impact; Harden; Headbutt; Heavy Slam; Hyper Beam; Ice Beam; Ice Punch; Iron Defense; Iron Head; Magnet Bomb; Protect; Rock Slide; Rock Tomb; Self-Destruct; Solar Beam; Steel Beam; Substitute; Tail Whip; Thunder; Thunder Punch; Thunder Shock; Thunder Wave; Thunderbolt
Vaporeon,134,71,Acid Armor; Alluring Voice; Aqua Ring; Aurora Beam; Baby-Doll Eyes; Baton Pass; Bite; Blizzard; Body Slam; Bubble Beam; Calm Mind; Charm; Chilling Water; Copycat; Covet; Curse; Detect; Dig; Disarming Voice; Double Kick; Double-Edge; Endure; Facade; Fake Tears; Flail; Flip Turn; Giga Impact; Growl; Haze; Headbutt; Helping Hand; Hydro Pump; Hyper Beam; Hyper Voice; Ice Beam; Icy Wind; Iron Tail; Last Resort; Liquidation; Mimic; Mud-Slap; Muddy Water; Protect; Quick Attack; Rain Dance; Rest; Roar; Sand Attack; Scald; Shadow Ball; Skull Bash; Sleep Talk; Stored Power; Substitute; Sunny Day; Surf; Swift; Tackle; Tail Whip; Take Down; Taunt; Tera Blast; Tickle; Trailblaze; Water Gun; Water Pulse; Waterfall; Weather Ball; Whirlpool; Wish; Yawn
Xerneas,716,37,Body Slam; Calm Mind; Close Combat; Dazzling Gleam; Endure; Facade; Flash Cannon; Focus Blast; Geomancy; Giga Impact; Horn Leech; Hyper Beam; Hyper Voice; Light Screen; Megahorn; Moonblast; Night Slash; Outrage; Petal Dance; Play Rough; Protect; Psychic; Psyshock; Reflect; Rock Slide; Seed Bomb; Silver Wind; Solar Blade; Substitute; Swift; Tackle; Take Down; Thunder; Thunder Wave; Thunderbolt; Trailblaze; Zen Headbutt
Yveltal,717,36,Air Slash; Body Slam; Dark Pulse; Double Team; Dragon Claw; Dragon Rush; Dream Eater; Dual Wingbeat; Endure; Facade; Fly; Focus Blast; Giga Impact; Gust; Heal Block; Heat Wave; Hurricane; Hyper Beam; Hyper Voice; Oblivion Wing; Ominous Wind; Phantom Force; Protect; Psychic; Razor Wind; Rock Slide; Shadow Ball; Shadow Claw; Sky Attack; Snarl; Substitute; Swift; Taunt; U-turn; Vacuum Wave; Zen Headbutt
Gogoat,673,60,Aerial Ace; Body Slam; Brick Break; Bulk Up; Bulldoze; Bullet Seed; Defense Curl; Dig; Double-Edge; Earthquake; Endeavor; Endure; Energy Ball; Facade; Giga Drain; Giga Impact; Grass Knot; Grassy Glide; Grassy Terrain; Growth; Helping Hand; High Horsepower; Horn Leech; Hyper Beam; Leaf Blade; Leaf Storm; Leech Seed; Magical Leaf; Megahorn; Milk Drink; Mud Shot; Mud-Slap; Play Rough; Protect; Rain Dance; Razor Leaf; Rest; Roar; Rock Slide; Rollout; Seed Bomb; Skull Bash; Sleep Talk; Solar Beam; Solar Blade; Stomping Tantrum; Substitute; Sunny Day; Surf; Synthesis; Tackle; Tail Whip; Take Down; Tera Blast; Throat Chop; Trailblaze; Vine Whip; Wild Charge; Worry Seed; Zen Headbutt
Aurorus,699,47,Ancient Power; Blizzard; Body Slam; Bulldoze; Calm Mind; Charge Beam; Chilling Water; Dark Pulse; Earth Power; Earthquake; Endure; Facade; Flash Cannon; Freeze-Dry; Giga Impact; Growl; Hyper Beam; Hyper Voice; Ice Beam; Ice Hammer; Icicle Spear; Icy Wind; Iron Defense; Iron Head; Iron Tail; Light Screen; Meteor Beam; Mist; Outrage; Protect; Psychic; Reflect; Rock Blast; Rock Slide; Rock Throw; Rock Tomb; Safeguard; Sheer Cold; Stealth Rock; Stone Edge; Substitute; Tackle; Take Down; Thunder; Thunder Wave; Thunderbolt; Zen Headbutt
Throh,538,41,Amnesia; Body Slam; Brick Break; Brutal Swing; Bulk Up; Bulldoze; Circle Throw; Close Combat; Dig; Dynamic Punch; Earthquake; Endure; Facade; Fire Punch; Focus Blast; Focus Energy; Giga Impact; Gunk Shot; Ice Punch; Iron Defense; Iron Head; Leer; Low Sweep; Outrage; Poison Jab; Power-Up Punch; Protect; Rock Blast; Rock Slide; Rock Smash; Rock Tomb; Rollout; Seed Bomb; Skull Bash; Stone Edge; Storm Throw; Substitute; Taunt; Thunder Punch; Work Up; Zen Headbutt
