Pokemon,Dex_Number,Move
Zygarde,718,Bite
Zygarde,718,Body Slam
Zygarde,718,Breaking Swipe
Zygarde,718,Brick Break
Zygarde,718,Bulldoze
Zygarde,718,Core Enforcer
Zygarde,718,Crunch
Zygarde,718,Dig
Zygarde,718,Draco Meteor
Zygarde,718,Dragon Breath
Zygarde,718,Dragon Pulse
Zygarde,718,Earth Power
Zygarde,718,Earthquake
Zygarde,718,Endure
Zygarde,718,Extreme Speed
Zygarde,718,Facade
Zygarde,718,Fissure
Zygarde,718,Focus Blast
Zygarde,718,Giga Impact
Zygarde,718,Glare
Zygarde,718,Haze
Zygarde,718,Hyper Beam
Zygarde,718,Hyper Voice
Zygarde,718,Iron Head
Zygarde,718,Land's Wrath
Zygarde,718,Magnet Bomb
Zygarde,718,Nihil Light
Zygarde,718,Outrage
Zygarde,718,Poison Fang
Zygarde,718,Protect
Zygarde,718,Psychic Fangs
Zygarde,718,Rock Slide
Zygarde,718,Safeguard
Zygarde,718,Scale Shot
Zygarde,718,Scorching Sands
Zygarde,718,Sludge Wave
Zygarde,718,Stone Edge
Zygarde,718,Substitute
Zygarde,718,Swift
Zygarde,718,Thousand Arrows
Zygarde,718,Thousand Waves
Zygarde,718,Tri Attack
Zygarde,718,Zen Headbutt
Dondozo,977,Aqua Tail
Dondozo,977,Avalanche
Dondozo,977,Body Press
Dondozo,977,Body Slam
Dondozo,977,Bulldoze
Dondozo,977,Chilling Water
Dondozo,977,Crunch
Dondozo,977,Curse
Dondozo,977,Dive
Dondozo,977,Double-Edge
Dondozo,977,Earthquake
Dondozo,977,Endure
Dondozo,977,Facade
Dondozo,977,Fissure
Dondozo,977,Flail
Dondozo,977,Giga Impact
Dondozo,977,Heavy Slam
Dondozo,977,Hydro Pump
Dondozo,977,Hyper Beam
Dondozo,977,Ice Fang
Dondozo,977,Iron Tail
Dondozo,977,Lick
Dondozo,977,Liquidation
Dondozo,977,Mud Shot
Dondozo,977,Muddy Water
Dondozo,977,Noble Roar
Dondozo,977,Order Up
Dondozo,977,Outrage
Dondozo,977,Protect
Dondozo,977,Rain Dance
Dondozo,977,Rest
Dondozo,977,Rock Slide
Dondozo,977,Scary Face
Dondozo,977,Sleep Talk
Dondozo,977,Soak
Dondozo,977,Stomping Tantrum
Dondozo,977,Substitute
Dondozo,977,Supersonic
Dondozo,977,Surf
Dondozo,977,Tackle
Dondozo,977,Take Down
Dondozo,977,Tera Blast
Dondozo,977,Thrash
Dondozo,977,Tickle
Dondozo,977,Water Gun
Dondozo,977,Water Pulse
Dondozo,977,Waterfall
Dondozo,977,Wave Crash
Dondozo,977,Whirlpool
Dondozo,977,Yawn
Dondozo,977,Zen Headbutt
Wigglytuff,040,Alluring Voice
Wigglytuff,040,Amnesia
Wigglytuff,040,Baton Pass
Wigglytuff,040,Blizzard
Wigglytuff,040,Body Press
Wigglytuff,040,Body Slam
Wigglytuff,040,Brick Break
Wigglytuff,040,Calm Mind
Wigglytuff,040,Charm
Wigglytuff,040,Chilling Water
Wigglytuff,040,Confusion
Wigglytuff,040,Copycat
Wigglytuff,040,Covet
Wigglytuff,040,Dark Pulse
Wigglytuff,040,Dazzling Gleam
Wigglytuff,040,Defense Curl
Wigglytuff,040,Dig
Wigglytuff,040,Disable
Wigglytuff,040,Disarming Voice
Wigglytuff,040,Double-Edge
Wigglytuff,040,Drain Punch
Wigglytuff,040,Draining Kiss
Wigglytuff,040,Dream Eater
Wigglytuff,040,Echoed Voice
Wigglytuff,040,Encore
Wigglytuff,040,Endeavor
Wigglytuff,040,Endure
Wigglytuff,040,Energy Ball
Wigglytuff,040,Expanding Force
Wigglytuff,040,Facade
Wigglytuff,040,Fake Out
Wigglytuff,040,Fake Tears
Wigglytuff,040,Fire Blast
Wigglytuff,040,Fire Punch
Wigglytuff,040,Flamethrower
Wigglytuff,040,Fling
Wigglytuff,040,Focus Blast
Wigglytuff,040,Focus Punch
Wigglytuff,040,Giga Impact
Wigglytuff,040,Grass Knot
Wigglytuff,040,Gravity
Wigglytuff,040,Gyro Ball
Wigglytuff,040,Headbutt
Wigglytuff,040,Heal Pulse
Wigglytuff,040,Helping Hand
Wigglytuff,040,Hyper Beam
Wigglytuff,040,Hyper Voice
Wigglytuff,040,Ice Beam
Wigglytuff,040,Ice Punch
Wigglytuff,040,Ice Spinner
Wigglytuff,040,Icy Wind
Wigglytuff,040,Knock Off
Wigglytuff,040,Last Resort
Wigglytuff,040,Light Screen
Wigglytuff,040,Magical Leaf
Wigglytuff,040,Metronome
Wigglytuff,040,Mimic
Wigglytuff,040,Misty Explosion
Wigglytuff,040,Misty Terrain
Wigglytuff,040,Moonblast
Wigglytuff,040,Nasty Plot
Wigglytuff,040,Pain Split
Wigglytuff,040,Perish Song
Wigglytuff,040,Play Rough
Wigglytuff,040,Pound
Wigglytuff,040,Present
Wigglytuff,040,Protect
Wigglytuff,040,Psych Up
Wigglytuff,040,Psychic
Wigglytuff,040,Psychic Noise
Wigglytuff,040,Psyshock
Wigglytuff,040,Rain Dance
Wigglytuff,040,Reflect
Wigglytuff,040,Rest
Wigglytuff,040,Rollout
Wigglytuff,040,Round
Wigglytuff,040,Sandstorm
Wigglytuff,040,Self-Destruct
Wigglytuff,040,Shadow Ball
Wigglytuff,040,Sing
Wigglytuff,040,Skill Swap
Wigglytuff,040,Sleep Talk
Wigglytuff,040,Solar Beam
